The total number of voters in India exceeds the entire population of Europe.||ଭାରତରେ ମୋଟ ଭୋଟରଙ୍କ ସଂଖ୍ୟା ଯେତିକି, ତାହା ସମ୍ପୂର୍ଣ୍ଣ ୟୁରୋପର ଜନସଂଖ୍ୟାଠାରୁ ମଧ୍ୟ ଅଧିକ ।
This stands for the sheer size & spread of our Democracy.||ଏହା ଆମ ଗଣତନ୍ତ୍ରର ବିଶାଳତାକୁ ପରିଚୟ କରାଇଥାଏ ।
The 2019 Lok Sabha Election in history by far, was the largest democratic Election ever held in the world.||2019ର ଲୋକସଭା ନିର୍ବାଚନ ଏ ପର୍ଯ୍ୟନ୍ତ ଇତିହାସରେ ବିଶ୍ୱର ସବୁଠାରୁ ବଡ଼ ଗଣତାନ୍ତ୍ରିକ ନିର୍ବାଚନ ଥିଲା ।
You can imagine the kind of resources and manpower that was required for such a mammoth exercise.||ଏଭଳି ନିର୍ବାଚନ କରାଇବାରେ କେତେ ବଡ଼ ସ୍ତରରେ ସମ୍ବଳ ଏବଂ ମାନବ ଶକ୍ତିର ଆବଶ୍ୟକତା ପଡ଼ିଥିବ ତାହା ଆପଣ କଳ୍ପନା କରିପାରନ୍ତି ।
Lakhs of teachers, officers & staff strived day & night to make it possible.||ଲକ୍ଷ ଲକ୍ଷ ଶିକ୍ଷକ, ଅଧିକାରୀ ଏବଂ କର୍ମଚାରୀମାନଙ୍କ କଠିନ ପରିଶ୍ରମ ଫଳରେ ନିର୍ବାଚନ ସମ୍ଭବ ହେଲା ।
In order to successfully conclude this ‘Mahayagya’, on the one hand, whereas close to three lakh paramilitary personnel discharged their duty; on the other, 20 lakh Police personnel of various states too, persevered with due diligence.||ଗଣତନ୍ତ୍ରର ଏହି ମହାଯଜ୍ଞକୁ ସଫଳତାର ସହିତ ପୂର୍ଣ୍ଣ କରିବା ପାଇଁ ଅର୍ଦ୍ଧ-ସାମରିକ ବାହିନୀର ପ୍ରାୟ ତିନି ଲକ୍ଷ ସୁରକ୍ଷାକର୍ମୀ ନିଜର ଦାୟିତ୍ୱ ନିର୍ବାହ କରିଥିବାବେଳେ ବିଭିନ୍ନ ରାଜ୍ୟର 20 ଲକ୍ଷ ପୁଲିସ କର୍ମୀମାନେ ମଧ୍ୟ ପରିଶ୍ରମର ପରାକାଷ୍ଠା ପ୍ରଦର୍ଶନ କଲେ ।
It is on account of these people that this time voting took place on a larger scale compared to the previous Election.||ଏମାନଙ୍କ କଠିନ ପରିଶ୍ରମ ବଳରେ ହିଁ ଏଥର ଗତଥର ଅପେକ୍ଷା ଅଧିକ ମତଦାନ ହେଲା ।
For the voting, there were around 10 lakh polling stations, more than 40 lakh EVM machines, over 17 lakh VVPAT machines… you can imagine the gargantuan task! All this was done, just to ensure that no voter was deprived of his or her voting rights.||ମତଦାନ ପାଇଁ ସମଗ୍ର ଦେଶରେ ପ୍ରାୟ 10 ଲକ୍ଷ ଭୋଟ ଗ୍ରହଣ କେନ୍ଦ୍ର, 40 ଲକ୍ଷରୁ ଅଧିକ ଇ.ଭି.ଏମ୍., 17 ଲକ୍ଷରୁ ଅଧିକ ଭି.ଭି.ପାଟ୍ ମେସିନ – କେତେ ବଡ଼ ଆୟୋଜନ – ଏହାର କଳ୍ପନା ଆପଣ କରିପାରୁଥିବେ । କୌଣସି ମତଦାତା ତା’ର ଅଧିକାରରୁବଞ୍ଚିତ ନ ହେଉ, ସେ କଥା ସୁନିଶ୍ଚିତ କରିବା ପାଇଁ ଏତେସବୁ ଆୟୋଜନ କରାଗଲା ।
In a remote area of Arunachal Pradesh, just for a lone woman voter, a polling station was created.||ଅରୁଣାଚଳ ପ୍ରଦେଶର ଏକ ଦୁର୍ଗମ ଅଂଚଳରେ ମାତ୍ର ଜଣେ ମହିଳା ମତଦାତାଙ୍କ ପାଇଁ ଭୋଟ ଗ୍ରହଣ କେନ୍ଦ୍ର ଖୋଲାଗଲା ।
You will be amazed to know that it took a journey of two days for personnel of the Election Commission, just to reach there.||ଆପଣ ଜାଣି ଆଶ୍ଚର୍ଯ୍ୟ ହେବେ ଯେ, ନିର୍ବାଚନ ଆୟୋଗର କର୍ମଚାରୀମାନଙ୍କୁ ସେଠାକୁ ପହଞ୍ଚିବା ପାଇଁ ଦୁଇ ଦିନ ଯାତ୍ରା କରିବାକୁ ପଡ଼ିଲା ।
this is honour to democracy at its best.||ଏହାହିଁ ତ ଗଣତନ୍ତ୍ରର ପ୍ରକୃତ ଗୌରବ ।
